Test MAE,Val MAE,Epoch,Model,Rewire,P,K,seed
0.013224635124206543,0.016731889724731445,10,gvp,c2a,0.95,no_k,1
0.01466440200805664,0.014482023239135743,20,gvp,c2a,0.95,no_k,1
0.012842836380004883,0.007766646385192871,30,gvp,c2a,0.95,no_k,1
0.0033056020736694338,0.005771624565124512,40,gvp,c2a,0.95,no_k,1
0.002605246067047119,0.004506510734558105,50,gvp,c2a,0.95,no_k,1
0.0019377435445785522,0.00322975754737854,60,gvp,c2a,0.95,no_k,1
0.002250460624694824,0.003937177658081055,70,gvp,c2a,0.95,no_k,1
0.002250460624694824,0.003865118980407715,80,gvp,c2a,0.95,no_k,1
0.0012764965295791627,0.0029504384994506836,90,gvp,c2a,0.95,no_k,1
0.0015211329460144043,0.002847928524017334,100,gvp,c2a,0.95,no_k,1
0.020656032562255858,0.022605945587158203,10,gvp,c2a,0.95,no_k,1
0.015967215538024902,0.015067849159240723,20,gvp,c2a,0.95,no_k,1
0.013311134338378907,0.01345431137084961,30,gvp,c2a,0.95,no_k,1
0.008040767669677734,0.01088393783569336,40,gvp,c2a,0.95,no_k,1
0.007577897071838379,0.008075481414794921,50,gvp,c2a,0.95,no_k,1
0.00583955192565918,0.00791367769241333,60,gvp,c2a,0.95,no_k,1
0.006597132682800293,0.006643940448760986,70,gvp,c2a,0.95,no_k,1
0.00675441837310791,0.006868814468383789,80,gvp,c2a,0.95,no_k,1
0.007241578102111817,0.00855570411682129,90,gvp,c2a,0.95,no_k,1
0.007152620315551758,0.007152983665466309,100,gvp,c2a,0.95,no_k,1
0.02118344306945801,0.026369409561157228,10,gvp,c2a,0.9,no_k,1
0.014826945304870606,0.02226569747924805,20,gvp,c2a,0.9,no_k,1
0.010689912796020508,0.023384630203247072,30,gvp,c2a,0.9,no_k,1
0.010288110733032227,0.011803338050842285,40,gvp,c2a,0.9,no_k,1
0.009203590393066407,0.013809525489807128,50,gvp,c2a,0.9,no_k,1
0.009203590393066407,0.012244521141052246,60,gvp,c2a,0.9,no_k,1
0.009203590393066407,0.0164600830078125,70,gvp,c2a,0.9,no_k,1
0.009203590393066407,0.014334456443786621,80,gvp,c2a,0.9,no_k,1
0.009203590393066407,0.014400105476379394,90,gvp,c2a,0.9,no_k,1
0.009203590393066407,0.016041378021240234,100,gvp,c2a,0.9,no_k,1
0.023997058868408205,0.03113854217529297,10,gvp,c2a,0.85,no_k,1
0.015464847564697265,0.015369833946228028,20,gvp,c2a,0.85,no_k,1
0.006276309967041016,0.010415498733520507,30,gvp,c2a,0.85,no_k,1
0.0047724018096923825,0.007962283134460449,40,gvp,c2a,0.85,no_k,1
0.004804801940917969,0.008536853790283204,50,gvp,c2a,0.85,no_k,1
0.0048799004554748535,0.007001759052276612,60,gvp,c2a,0.85,no_k,1
0.004308497428894043,0.011850822448730468,70,gvp,c2a,0.85,no_k,1
0.004308497428894043,0.005407060146331787,80,gvp,c2a,0.85,no_k,1
0.004308497428894043,0.00678639030456543,90,gvp,c2a,0.85,no_k,1
0.004308497428894043,0.007620317459106445,100,gvp,c2a,0.85,no_k,1
0.014590798377990722,0.021779211044311523,10,gvp,c2a,0.75,no_k,1
0.013759098052978515,0.01711581039428711,20,gvp,c2a,0.75,no_k,1
0.0068179874420166015,0.009850289344787598,30,gvp,c2a,0.75,no_k,1
0.0068179874420166015,0.010553823471069337,40,gvp,c2a,0.75,no_k,1
0.005651771068572998,0.011393510818481445,50,gvp,c2a,0.75,no_k,1
0.005651771068572998,0.010406393051147461,60,gvp,c2a,0.75,no_k,1
0.005651771068572998,0.011730280876159668,70,gvp,c2a,0.75,no_k,1
0.005651771068572998,0.01143815040588379,80,gvp,c2a,0.75,no_k,1
0.005651771068572998,0.00976611328125,90,gvp,c2a,0.75,no_k,1
0.005474795341491699,0.010356806755065917,100,gvp,c2a,0.75,no_k,1
0.014637192726135255,0.01577254581451416,10,gvp,c2a,0.6,no_k,1
0.008282443046569825,0.01853621292114258,20,gvp,c2a,0.6,no_k,1
0.007795222759246826,0.010937738418579101,30,gvp,c2a,0.6,no_k,1
0.0059416284561157225,0.008613529205322266,40,gvp,c2a,0.6,no_k,1
0.0059416284561157225,0.008509441375732422,50,gvp,c2a,0.6,no_k,1
0.00480147123336792,0.008047871589660645,60,gvp,c2a,0.6,no_k,1
0.004421603202819824,0.006512642860412598,70,gvp,c2a,0.6,no_k,1
0.004421603202819824,0.0065061054229736326,80,gvp,c2a,0.6,no_k,1
0.00547415828704834,0.007995102405548096,90,gvp,c2a,0.6,no_k,1
0.00547415828704834,0.007107164859771729,100,gvp,c2a,0.6,no_k,1
0.011183843612670899,0.021706066131591796,10,gvp,c2a,0.5,no_k,1
0.005948538780212402,0.012534797668457031,20,gvp,c2a,0.5,no_k,1
0.005115157127380371,0.00612126350402832,30,gvp,c2a,0.5,no_k,1
0.0042608299255371095,0.006048289299011231,40,gvp,c2a,0.5,no_k,1
0.003988692998886109,0.00550223445892334,50,gvp,c2a,0.5,no_k,1
0.0036634016036987305,0.006160455703735352,60,gvp,c2a,0.5,no_k,1
0.006783722877502441,0.004893953323364258,70,gvp,c2a,0.5,no_k,1
0.006783722877502441,0.005622934341430664,80,gvp,c2a,0.5,no_k,1
0.006783722877502441,0.006243420600891113,90,gvp,c2a,0.5,no_k,1
0.006783722877502441,0.0056467165946960446,100,gvp,c2a,0.5,no_k,1
0.01041783905029297,0.03176177597045898,10,gvp,c2a,0.4,no_k,1
0.006992800712585449,0.013435661315917969,20,gvp,c2a,0.4,no_k,1
0.004862139701843262,0.006089031219482422,30,gvp,c2a,0.4,no_k,1
0.004282025337219239,0.005441992282867431,40,gvp,c2a,0.4,no_k,1
0.003503933906555176,0.004548331260681152,50,gvp,c2a,0.4,no_k,1
0.004036317825317383,0.0026913883686065674,60,gvp,c2a,0.4,no_k,1
0.0038933615684509275,0.0029323973655700684,70,gvp,c2a,0.4,no_k,1
0.0038933615684509275,0.00330733323097229,80,gvp,c2a,0.4,no_k,1
0.004091691493988037,0.0026467161178588866,90,gvp,c2a,0.4,no_k,1
0.003884526252746582,0.002702011585235596,100,gvp,c2a,0.4,no_k,1
0.007642652988433838,0.02006178665161133,10,gvp,c2a,0.25,no_k,1
0.005722788810729981,0.010411949157714843,20,gvp,c2a,0.25,no_k,1
0.003761260986328125,0.00655458927154541,30,gvp,c2a,0.25,no_k,1
0.0031322643756866455,0.004685783863067627,40,gvp,c2a,0.25,no_k,1
0.0024594407081604003,0.005022397994995117,50,gvp,c2a,0.25,no_k,1
0.002893033027648926,0.005068172931671142,60,gvp,c2a,0.25,no_k,1
0.002893033027648926,0.004915814399719238,70,gvp,c2a,0.25,no_k,1
0.002893033027648926,0.005089941501617431,80,gvp,c2a,0.25,no_k,1
0.0020629727840423585,0.004756630420684815,90,gvp,c2a,0.25,no_k,1
0.0020629727840423585,0.004828143119812012,100,gvp,c2a,0.25,no_k,1
0.0052414674758911135,0.013958568572998048,10,gvp,c2a,0.1,no_k,1
0.003593861103057861,0.007833381175994874,20,gvp,c2a,0.1,no_k,1
0.003234189510345459,0.004381511688232422,30,gvp,c2a,0.1,no_k,1
0.003426802635192871,0.003958288192749023,40,gvp,c2a,0.1,no_k,1
0.0010770549774169922,0.005820841789245606,50,gvp,c2a,0.1,no_k,1
0.0016768717765808106,0.002721763610839844,60,gvp,c2a,0.1,no_k,1
0.0016768717765808106,0.002475874662399292,70,gvp,c2a,0.1,no_k,1
0.0016768717765808106,0.0023615260124206544,80,gvp,c2a,0.1,no_k,1
0.0016768717765808106,0.002822457551956177,90,gvp,c2a,0.1,no_k,1
0.0016768717765808106,0.002267061471939087,100,gvp,c2a,0.1,no_k,1
0.03791650390625,0.02795281982421875,10,gvp,c2a,0.0,no_k,1
0.011807506561279296,0.01830804443359375,20,gvp,c2a,0.0,no_k,1
0.0050375347137451175,0.01313601016998291,30,gvp,c2a,0.0,no_k,1
0.003164313316345215,0.005026147365570068,40,gvp,c2a,0.0,no_k,1
0.0021453447341918943,0.004440896034240723,50,gvp,c2a,0.0,no_k,1
0.0019545559883117677,0.007120309829711914,60,gvp,c2a,0.0,no_k,1
0.0024915575981140138,0.009640707969665527,70,gvp,c2a,0.0,no_k,1
0.0024915575981140138,0.004539073467254639,80,gvp,c2a,0.0,no_k,1
0.0024915575981140138,0.004174351215362549,90,gvp,c2a,0.0,no_k,1
0.0024915575981140138,0.004222908973693848,100,gvp,c2a,0.0,no_k,1
0.020007701873779298,0.023397609710693358,10,gvp,c2c,0.95,no_k,1
0.01602519226074219,0.017799806594848634,20,gvp,c2c,0.95,no_k,1
0.01159510612487793,0.017649131774902342,30,gvp,c2c,0.95,no_k,1
0.009565917015075684,0.013135328292846679,40,gvp,c2c,0.95,no_k,1
0.009036150932312012,0.007926406383514405,50,gvp,c2c,0.95,no_k,1
0.008249316215515137,0.008308996200561523,60,gvp,c2c,0.95,no_k,1
0.007147565364837647,0.011955514907836914,70,gvp,c2c,0.95,no_k,1
0.008783042907714844,0.00981351661682129,80,gvp,c2c,0.95,no_k,1
0.008783042907714844,0.009310164451599122,90,gvp,c2c,0.95,no_k,1
0.008783042907714844,0.007465842247009277,100,gvp,c2c,0.95,no_k,1
0.020248470306396486,0.022759857177734374,10,gvp,c2c,0.9,no_k,1
0.017672527313232423,0.0186170711517334,20,gvp,c2c,0.9,no_k,1
0.013834600448608398,0.013479819297790527,30,gvp,c2c,0.9,no_k,1
0.011369604110717774,0.010981164932250976,40,gvp,c2c,0.9,no_k,1
0.011340798377990723,0.013279006958007813,50,gvp,c2c,0.9,no_k,1
0.00912087059020996,0.011262796401977538,60,gvp,c2c,0.9,no_k,1
0.00613377046585083,0.010457587242126466,70,gvp,c2c,0.9,no_k,1
0.00613377046585083,0.009591894149780273,80,gvp,c2c,0.9,no_k,1
0.006089042663574218,0.007976951122283936,90,gvp,c2c,0.9,no_k,1
0.006089042663574218,0.00934766674041748,100,gvp,c2c,0.9,no_k,1
0.024937721252441408,0.03293812561035156,10,gvp,c2c,0.85,no_k,1
0.015935686111450194,0.015965518951416017,20,gvp,c2c,0.85,no_k,1
0.013227265357971191,0.014561851501464844,30,gvp,c2c,0.85,no_k,1
0.013638918876647949,0.013753128051757813,40,gvp,c2c,0.85,no_k,1
0.012042803764343262,0.011840313911437987,50,gvp,c2c,0.85,no_k,1
0.00884159278869629,0.011852477073669434,60,gvp,c2c,0.85,no_k,1
0.007864914894104003,0.011496227264404297,70,gvp,c2c,0.85,no_k,1
0.007864914894104003,0.011528051376342774,80,gvp,c2c,0.85,no_k,1
0.005467194557189942,0.01064911460876465,90,gvp,c2c,0.85,no_k,1
0.005467194557189942,0.011552026748657226,100,gvp,c2c,0.85,no_k,1
0.019463878631591797,0.021495677947998046,10,gvp,c2c,0.75,no_k,1
0.0176755313873291,0.015976686477661133,20,gvp,c2c,0.75,no_k,1
0.018114992141723633,0.016793481826782225,30,gvp,c2c,0.75,no_k,1
0.010430339813232423,0.014775863647460937,40,gvp,c2c,0.75,no_k,1
0.008982929229736328,0.011404435157775878,50,gvp,c2c,0.75,no_k,1
0.008982929229736328,0.010458418846130371,60,gvp,c2c,0.75,no_k,1
0.008244853973388672,0.007602540016174317,70,gvp,c2c,0.75,no_k,1
0.008244853973388672,0.00950949764251709,80,gvp,c2c,0.75,no_k,1
0.007705771446228028,0.007018764495849609,90,gvp,c2c,0.75,no_k,1
0.007152060508728028,0.006375579833984375,100,gvp,c2c,0.75,no_k,1
0.022540410995483397,0.02370845413208008,10,gvp,c2c,0.6,no_k,1
0.02269769287109375,0.024092723846435547,20,gvp,c2c,0.6,no_k,1
0.016917474746704103,0.01681775665283203,30,gvp,c2c,0.6,no_k,1
0.017584583282470704,0.013085776329040528,40,gvp,c2c,0.6,no_k,1
0.01024286937713623,0.010091357231140137,50,gvp,c2c,0.6,no_k,1
0.01024286937713623,0.01089582633972168,60,gvp,c2c,0.6,no_k,1
0.005067606449127197,0.010050344467163085,70,gvp,c2c,0.6,no_k,1
0.006186477661132813,0.007153120994567871,80,gvp,c2c,0.6,no_k,1
0.004550698280334472,0.006183932781219483,90,gvp,c2c,0.6,no_k,1
0.00442819881439209,0.005642586708068847,100,gvp,c2c,0.6,no_k,1
0.03659834671020508,0.03267631912231445,10,gvp,c2c,0.5,no_k,1
0.016084396362304687,0.016208221435546875,20,gvp,c2c,0.5,no_k,1
0.010400009155273438,0.011004623413085937,30,gvp,c2c,0.5,no_k,1
0.005121124744415283,0.008239547729492187,40,gvp,c2c,0.5,no_k,1
0.005121124744415283,0.010165159225463866,50,gvp,c2c,0.5,no_k,1
0.005121124744415283,0.010089958190917969,60,gvp,c2c,0.5,no_k,1
0.004872499942779541,0.011441201210021972,70,gvp,c2c,0.5,no_k,1
0.004872499942779541,0.008838756561279297,80,gvp,c2c,0.5,no_k,1
0.004872499942779541,0.012349766731262207,90,gvp,c2c,0.5,no_k,1
0.0037116754055023194,0.007111468315124512,100,gvp,c2c,0.5,no_k,1
0.021425739288330078,0.019763328552246093,10,gvp,c2c,0.4,no_k,1
0.018364070892333984,0.016905815124511718,20,gvp,c2c,0.4,no_k,1
