Test MAE,Val MAE,Epoch,Model,Rewire,P,K,seed
0.04154166412353515,0.014323310852050781,50,gvp,k0hop,0.9,2,1
0.02367515754699707,0.01064295196533203,60,gvp,k0hop,0.9,2,1
0.023644994735717774,0.011171256065368652,70,gvp,k0hop,0.9,2,1
0.024197864532470702,0.009254013061523438,80,gvp,k0hop,0.9,2,1
0.024197864532470702,0.009526203155517578,90,gvp,k0hop,0.9,2,1
0.024197864532470702,0.011691328048706054,100,gvp,k0hop,0.9,2,1
0.040690624237060546,0.02374440574645996,10,gvp,k0hop,0.9,3,1
0.06150223541259765,0.01789166259765625,20,gvp,k0hop,0.9,3,1
0.0692680892944336,0.017097612380981446,30,gvp,k0hop,0.9,3,1
0.0692680892944336,0.01536463451385498,40,gvp,k0hop,0.9,3,1
0.08968943786621093,0.019186115264892577,50,gvp,k0hop,0.9,3,1
0.11244659423828125,0.014564249038696289,60,gvp,k0hop,0.9,3,1
0.11244659423828125,0.01982220458984375,70,gvp,k0hop,0.9,3,1
0.11244659423828125,0.02129572868347168,80,gvp,k0hop,0.9,3,1
0.11244659423828125,0.016670734405517577,90,gvp,k0hop,0.9,3,1
0.11244659423828125,0.016720909118652344,100,gvp,k0hop,0.9,3,1
0.060783309936523436,0.018078083038330077,10,gvp,k0hop,0.9,4,1
0.06297555541992188,0.014973983764648438,20,gvp,k0hop,0.9,4,1
0.053000812530517576,0.015709585189819335,30,gvp,k0hop,0.9,4,1
0.0804596176147461,0.01785184097290039,40,gvp,k0hop,0.9,4,1
0.0804596176147461,0.015047228813171387,50,gvp,k0hop,0.9,4,1
0.0804596176147461,0.015700645446777343,60,gvp,k0hop,0.9,4,1
0.0804596176147461,0.015163818359375,70,gvp,k0hop,0.9,4,1
0.0804596176147461,0.015859495162963866,80,gvp,k0hop,0.9,4,1
0.1184120864868164,0.01550607967376709,90,gvp,k0hop,0.9,4,1
0.101638671875,0.012609511375427247,100,gvp,k0hop,0.9,4,1
0.06506639099121093,0.024436508178710938,10,gvp,k0hop,0.9,5,1
0.0567646484375,0.016144363403320313,20,gvp,k0hop,0.9,5,1
0.06930960083007813,0.01510762882232666,30,gvp,k0hop,0.9,5,1
0.05136911392211914,0.016306907653808593,40,gvp,k0hop,0.9,5,1
0.07941053771972656,0.013921791076660157,50,gvp,k0hop,0.9,5,1
0.06690279388427735,0.010260736465454102,60,gvp,k0hop,0.9,5,1
0.047822784423828125,0.009452577590942382,70,gvp,k0hop,0.9,5,1
0.04665628051757813,0.011590569496154786,80,gvp,k0hop,0.9,5,1
0.04665628051757813,0.01117906665802002,90,gvp,k0hop,0.9,5,1
