Test MAE,Val MAE,Epoch,Model,Rewire,P,K,seed
0.018596466064453126,0.026886680603027343,10,gvp,no,0.0,0,1
0.005434661388397217,0.013064044952392578,20,gvp,no,0.0,0,1
0.0018994100093841554,0.004992528438568115,30,gvp,no,0.0,0,1
0.002000070571899414,0.004954864501953125,40,gvp,no,0.0,0,1
0.00212827205657959,0.003596184253692627,50,gvp,no,0.0,0,1
0.0031107003688812256,0.004471488952636719,60,gvp,no,0.0,0,1
0.001794247031211853,0.006056608676910401,70,gvp,no,0.0,0,1
0.0007258629202842713,0.003021201133728027,80,gvp,no,0.0,0,1
0.0019309333562850953,0.003131311893463135,90,gvp,no,0.0,0,1
0.0008392080664634705,0.0020550785064697265,100,gvp,no,0.0,0,1
0.028450145721435546,0.023540863037109373,10,gvp,no,0.0,0,2
0.0021450674533843995,0.007817074775695801,20,gvp,no,0.0,0,2
0.0029792160987854002,0.005256668090820312,30,gvp,no,0.0,0,2
0.002290519714355469,0.0042150988578796384,40,gvp,no,0.0,0,2
0.0020552549362182616,0.004368433475494385,50,gvp,no,0.0,0,2
0.0019723381996154784,0.004116035461425781,60,gvp,no,0.0,0,2
0.001356460928916931,0.0032006690502166747,70,gvp,no,0.0,0,2
0.001356460928916931,0.00330768084526062,80,gvp,no,0.0,0,2
0.001356460928916931,0.002882330417633057,90,gvp,no,0.0,0,2
0.001356460928916931,0.003164060592651367,100,gvp,no,0.0,0,2
0.00848979949951172,0.02020917510986328,10,gvp,no,0.0,0,3
0.00431087064743042,0.00753076171875,20,gvp,no,0.0,0,3
0.0024826741218566895,0.008875689506530761,30,gvp,no,0.0,0,3
0.0019903923273086547,0.005287020683288574,40,gvp,no,0.0,0,3
0.003059335470199585,0.007276577949523926,50,gvp,no,0.0,0,3
0.0017691957950592041,0.00340101957321167,60,gvp,no,0.0,0,3
0.0017691957950592041,0.0029590768814086914,70,gvp,no,0.0,0,3
0.0011346303224563598,0.002226111888885498,80,gvp,no,0.0,0,3
0.0011346303224563598,0.0025492992401123047,90,gvp,no,0.0,0,3
0.0007506095767021179,0.0023998727798461915,100,gvp,no,0.0,0,3
