Test MAE,Val MAE,Epoch,Model,Rewire,P,K,seed
0.024689889907836913,0.028931629180908202,10,gvp,gumbel+c2a,0.5,no_k,1
0.020219989776611328,0.013115167617797852,20,gvp,gumbel+c2a,0.5,no_k,1
0.014440062522888184,0.016049392700195314,30,gvp,gumbel+c2a,0.5,no_k,1
0.014440062522888184,0.01455296516418457,40,gvp,gumbel+c2a,0.5,no_k,1
0.0066733498573303225,0.012487075805664062,50,gvp,gumbel+c2a,0.5,no_k,1
0.005495211124420166,0.010680648803710937,60,gvp,gumbel+c2a,0.5,no_k,1
0.005495211124420166,0.009328502655029297,70,gvp,gumbel+c2a,0.5,no_k,1
0.005661081790924072,0.011191723823547363,80,gvp,gumbel+c2a,0.5,no_k,1
0.004413764953613281,0.008721576690673829,90,gvp,gumbel+c2a,0.5,no_k,1
0.004182143211364746,0.008655543327331544,100,gvp,gumbel+c2a,0.5,no_k,1
0.030737844467163086,0.02091338348388672,10,gvp,gumbel+c2a,0.25,no_k,1
0.019251935958862303,0.02079152488708496,20,gvp,gumbel+c2a,0.25,no_k,1
0.01370734405517578,0.014883610725402832,30,gvp,gumbel+c2a,0.25,no_k,1
0.006563583374023438,0.011764280319213867,40,gvp,gumbel+c2a,0.25,no_k,1
0.004693625450134277,0.010051785469055175,50,gvp,gumbel+c2a,0.25,no_k,1
0.00545649528503418,0.006037821769714355,60,gvp,gumbel+c2a,0.25,no_k,1
0.00545649528503418,0.0057966699600219725,70,gvp,gumbel+c2a,0.25,no_k,1
0.00545649528503418,0.0077457971572875975,80,gvp,gumbel+c2a,0.25,no_k,1
0.003833934783935547,0.006449162006378174,90,gvp,gumbel+c2a,0.25,no_k,1
0.003582720994949341,0.007510420799255371,100,gvp,gumbel+c2a,0.25,no_k,1
0.020310741424560547,0.026447410583496093,10,gvp,gumbel+c2a,0.1,no_k,1
0.013050454139709473,0.0157727632522583,20,gvp,gumbel+c2a,0.1,no_k,1
0.010231334686279297,0.010540559768676757,30,gvp,gumbel+c2a,0.1,no_k,1
0.007780707359313964,0.007542990684509278,40,gvp,gumbel+c2a,0.1,no_k,1
0.005336232185363769,0.008383559226989747,50,gvp,gumbel+c2a,0.1,no_k,1
0.004968536376953125,0.007041676998138428,60,gvp,gumbel+c2a,0.1,no_k,1
0.004968536376953125,0.006416408061981202,70,gvp,gumbel+c2a,0.1,no_k,1
0.0046093912124633785,0.006324760437011719,80,gvp,gumbel+c2a,0.1,no_k,1
0.0046093912124633785,0.005361053943634033,90,gvp,gumbel+c2a,0.1,no_k,1
0.004797151565551758,0.0052695837020874025,100,gvp,gumbel+c2a,0.1,no_k,1
0.01264992618560791,0.0158718786239624,10,gvp,gumbel+c2a,0.0,no_k,1
0.011412666320800782,0.01034663963317871,20,gvp,gumbel+c2a,0.0,no_k,1
0.006617399215698242,0.01193465232849121,30,gvp,gumbel+c2a,0.0,no_k,1
0.0051352338790893555,0.009142480850219726,40,gvp,gumbel+c2a,0.0,no_k,1
0.0031539106369018553,0.0026016008853912355,50,gvp,gumbel+c2a,0.0,no_k,1
0.0031539106369018553,0.0036313977241516113,60,gvp,gumbel+c2a,0.0,no_k,1
0.00401061487197876,0.003586548805236816,70,gvp,gumbel+c2a,0.0,no_k,1
0.0036591227054595947,0.003003670692443848,80,gvp,gumbel+c2a,0.0,no_k,1
0.0036591227054595947,0.004054429531097412,90,gvp,gumbel+c2a,0.0,no_k,1
0.002678318500518799,0.0032527568340301512,100,gvp,gumbel+c2a,0.0,no_k,1
0.018791248321533203,0.025044492721557617,10,gvp,gumbel+c2a,0.5,no_k,2
0.018261625289916993,0.02531093978881836,20,gvp,gumbel+c2a,0.5,no_k,2
0.007219505310058594,0.01783694267272949,30,gvp,gumbel+c2a,0.5,no_k,2
0.004765904426574707,0.010872395515441894,40,gvp,gumbel+c2a,0.5,no_k,2
0.005163511276245117,0.012125370025634765,50,gvp,gumbel+c2a,0.5,no_k,2
0.005218709945678711,0.010555644989013672,60,gvp,gumbel+c2a,0.5,no_k,2
0.006034651756286621,0.013061501502990723,70,gvp,gumbel+c2a,0.5,no_k,2
0.0038171405792236327,0.00966889762878418,80,gvp,gumbel+c2a,0.5,no_k,2
0.0038171405792236327,0.008285808563232421,90,gvp,gumbel+c2a,0.5,no_k,2
0.0038171405792236327,0.010294160842895507,100,gvp,gumbel+c2a,0.5,no_k,2
0.027697002410888672,0.02227819061279297,10,gvp,gumbel+c2a,0.25,no_k,2
0.01498494529724121,0.011585180282592773,20,gvp,gumbel+c2a,0.25,no_k,2
0.01740487480163574,0.008652894973754884,30,gvp,gumbel+c2a,0.25,no_k,2
0.007003538131713867,0.005358500957489014,40,gvp,gumbel+c2a,0.25,no_k,2
0.010249174118041993,0.006732415676116943,50,gvp,gumbel+c2a,0.25,no_k,2
0.005162939548492431,0.0038443748950958254,60,gvp,gumbel+c2a,0.25,no_k,2
0.004485642433166504,0.004941866874694824,70,gvp,gumbel+c2a,0.25,no_k,2
0.004485642433166504,0.0050809326171875,80,gvp,gumbel+c2a,0.25,no_k,2
0.004485642433166504,0.004790065765380859,90,gvp,gumbel+c2a,0.25,no_k,2
0.004485642433166504,0.00485971212387085,100,gvp,gumbel+c2a,0.25,no_k,2
